diretor,ano,diretor_primeiro_nome,genero
James Cameron,2009,James,male
Gore Verbinski,2007,Gore,NA
Christopher Nolan,2012,Christopher,male
Andrew Stanton,2012,Andrew,male
Sam Raimi,2007,Sam,male
Nathan Greno,2010,Nathan,male
Joss Whedon,2015,Joss,male
Zack Snyder,2016,Zack,male
Bryan Singer,2006,Bryan,male
Gore Verbinski,2006,Gore,NA
Gore Verbinski,2013,Gore,NA
Zack Snyder,2013,Zack,male
Andrew Adamson,2008,Andrew,male
Joss Whedon,2012,Joss,male
Rob Marshall,2011,Rob,male
Barry Sonnenfeld,2012,Barry,male
Marc Webb,2012,Marc,male
Ridley Scott,2010,Ridley,male
Peter Jackson,2013,Peter,male
Chris Weitz,2007,Chris,male
James Cameron,1997,James,male
Anthony Russo,2016,Anthony,male
Peter Berg,2012,Peter,male
Colin Trevorrow,2015,Colin,male
Sam Raimi,2004,Sam,male
Shane Black,2013,Shane,male
Tim Burton,2010,Tim,male
Dan Scanlon,2013,Dan,male
Michael Bay,2009,Michael,male
Michael Bay,2014,Michael,male
Sam Raimi,2013,Sam,male
Marc Webb,2014,Marc,male
Joseph Kosinski,2010,Joseph,male
John Lasseter,2011,John,male
Martin Campbell,2011,Martin,male
Lee Unkrich,2010,Lee,male
McG,2009,NA,NA
James Wan,2015,James,male
Marc Forster,2013,Marc,male
Bryan Singer,2014,Bryan,male
J.J. Abrams,2013,J.J.,NA
Bryan Singer,2013,Bryan,male
Mike Newell,2010,Mike,male
Guillermo del Toro,2013,Guillermo del,NA
Michael Bay,2011,Michael,male
Steven Spielberg,2008,Steven,male
Peter Sohn,2015,Peter,male
Mark Andrews,2012,Mark,male
Justin Lin,2016,Justin,male
Andrew Stanton,2008,Andrew,male
Brett Ratner,2007,Brett,male
Roland Emmerich,2009,Roland,male
Robert Zemeckis,2009,Robert,male
Lana Wachowski,2015,Lana,female
David Yates,2016,David,male
Andrew Adamson,2005,Andrew,male
Bryan Singer,2016,Bryan,male
Christopher Nolan,2008,Christopher,male
Pete Docter,2009,Pete,male
Rob Letterman,2009,Rob,male
Jon Favreau,2008,Jon,male
Martin Scorsese,2011,Martin,male
Barry Sonnenfeld,1999,Barry,male
Rob Cohen,2008,Rob,male
David Ayer,2016,David,male
Tom Shadyac,2007,Tom,male
